id,prime_minister,start,end,party,government
1,Alcide De Gasperi,1946-07-14,1947-02-02,Democrazia Cristiana,De Gasperi II
2,Alcide De Gasperi,1947-02-02,1947-06-1º,Democrazia Cristiana,De Gasperi III
3,Alcide De Gasperi,1947-06-1º,1948-05-24,Democrazia Cristiana,De Gasperi IV
4,Alcide De Gasperi,1948-05-24,1950-01-27,Democrazia Cristiana,De Gasperi V
5,Alcide De Gasperi,1950-01-27,1951-07-26,Democrazia Cristiana,De Gasperi VI
6,Alcide De Gasperi,1951-07-26,1953-07-16,Democrazia Cristiana,De Gasperi VII
7,Alcide De Gasperi,1953-07-16,1953-08-17,Democrazia Cristiana,De Gasperi VIII
8,Giuseppe Pella,1953-08-17,1954-01-19,Democrazia Cristiana,Pella
9,Amintore Fanfani,1954-01-19,1954-02-10,Democrazia Cristiana,Fanfani I
10,Mario Scelba,1954-02-10,1955-07-06,Democrazia Cristiana,Scelba
11,Antonio Segni,1955-07-06,1957-05-20,Democrazia Cristiana,Segni I
12,Adone Zoli,1957-05-20,1958-07-02,Democrazia Cristiana,Zoli
13,Amintore Fanfani,1958-07-02,1959-02-16,Democrazia Cristiana,Fanfani II
14,Antonio Segni,1959-02-16,1960-03-26,Democrazia Cristiana,Segni II
15,Fernando Tambroni,1960-03-26,1960-07-27,Democrazia Cristiana,Tambroni
16,Amintore Fanfani,1960-07-27,1962-02-22,Democrazia Cristiana,Fanfani III
17,Amintore Fanfani,1962-02-22,1963-06-22,Democrazia Cristiana,Fanfani IV
18,Giovanni Leone ,1963-06-22,1963-12-05,Democrazia Cristiana,Leone I
19,Aldo Moro,1963-12-05,1964-07-23,Democrazia Cristiana,Moro I
20,Aldo Moro,1964-07-23,1966-02-24,Democrazia Cristiana,Moro II
21,Aldo Moro,1966-02-24,1968-06-25,Democrazia Cristiana,Moro III
22,Giovanni Leone,1968-06-25,1968-12-13,Democrazia Cristiana,Leone II
23,Mariano Rumor,1968-12-13,1969-08-06,Democrazia Cristiana,Rumor I
24,Mariano Rumor,1969-08-06,1970-03-28,Democrazia Cristiana,Rumor II
25,Mariano Rumor,1970-03-28,1970-08-06,Democrazia Cristiana,Rumor III
26,Emilio Colombo,1970-08-06,1972-02-18,Democrazia Cristiana,Colombo
27,Giulio Andreotti,1972-02-18,1972-06-26,Democrazia Cristiana,Andreotti I
28,Giulio Andreotti,1972-06-26,1973-07-08,Democrazia Cristiana,Andreotti II
29,Mariano Rumor,1973-07-08,1974-03-15,Democrazia Cristiana,Rumor IV
30,Mariano Rumor,1974-03-15,1974-11-23,Democrazia Cristiana,Rumor V
31,Aldo Moro,1974-11-23,1976-02-12,Democrazia Cristiana,Moro IV
32,Aldo Moro,1976-02-12,1976-07-30,Democrazia Cristiana,Moro V
33,Giulio Andreotti,1976-07-30,1978-03-13,Democrazia Cristiana,Andreotti III
34,Giulio Andreotti,1978-03-13,1979-03-21,Democrazia Cristiana,Andreotti IV
35,Giulio Andreotti,1979-03-21,1979-08-05,Democrazia Cristiana,Andreotti V
36,Francesco Cossiga,1979-08-05,1980-04-04,Democrazia Cristiana,Cossiga I
37,Francesco Cossiga,1980-04-04,1980-10-18,Democrazia Cristiana,Cossiga II
38,Arnaldo Forlani,1980-10-18,1981-06-28,Democrazia Cristiana,Forlani
39,Giovanni Spadolini,1981-06-28,1982-08-23,Partito Repubblicano Italiano,Spadolini I
40,Giovanni Spadolini,1982-08-23,1982-12-1º,Partito Repubblicano Italiano,Spadolini II
41,Amintore Fanfani,1982-12-1º,1983-08-04,Democrazia Cristiana,Fanfani V
