id,legislature,election_day,start,end,days,years,governments,prime_ministers
1,Assemblea Costituente,1946-06-02,1946-06-25,1948-01-31,586,2,3,1
2,I,1948-04-18,1948-05-08,1953-06-24,1874,5,3,1
3,II,1953-06-07,1953-06-25,1958-06-11,1813,5,6,6
4,III,1958-05-25,1958-06-12,1963-05-15,1799,5,5,3
5,IV,1963-04-28,1963-05-16,1968-06-04,1847,5,4,2
6,V,1968-05-19,1968-06-05,1972-05-24,1450,4,6,4
7,VI,1972-05-07,1972-05-25,1976-07-04,1502,4,5,3
8,VII,1976-06-20,1976-07-05,1979-06-19,1080,3,3,1
9,VIII,1979-06-03,1979-06-20,1983-07-11,1483,4,6,4
10,IX,1983-06-26,1983-07-12,1987-07-1º,1451,4,3,2
11,X,1987-06-14,1987-07-02,1992-04-22,1757,5,4,3
12,XI,1992-04-05,1992-04-23,1994-04-14,722,2,2,2
13,XII,1994-03-27,1994-04-15,1996-05-08,755,2,2,2
14,XIII,1996-04-21,1996-05-09,2001-05-29,1847,5,4,3
15,XIV,2001-05-13,2001-05-30,2006-04-27,1794,5,2,1
16,XV,2006-04-09,2006-04-28,2008-04-28,732,2,1,1
17,XVI,2008-04-13,2008-04-29,2013-03-14,1781,5,2,2
18,XVII,2013-02-24,2013-03-15,2018-03-22,1834,5,3,3
19,XVIII,2018-03-04,2018-03-23,2022-10-12,1665,4,3,2
