name,detail_link,dati_anagrafici,gruppo,gruppi,legislatura
ABBIATE Mario,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9171,,,Gruppo Misto : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ADINOLFI Pietro,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9172,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ALBERGANTI Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9173,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ALBERTI Antonio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9175,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ALBERTI Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9174,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ALDISIO Salvatore,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9176,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ALLEGATO Luigi,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9177,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ALUNNI PIERUCCI Francesco,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7088,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ANFOSSI Giovanni Secondo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9178,,,Gruppo Unita' Socialista : Vicepresidente dall'8 maggio 1948 al 24 giugno 1953 (dal 13 febbraio 1952 il Gruppo assume la denominazione Partito Socialista Democratico Italiano),1
ANGELINI Cesare,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9180,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ANGELINI Nicola,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9179,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ANGIOLILLO Renato,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7193,,,Gruppo Liberale : Membro dall'8 maggio 1948 al 24 giugno 1953,1
ARMATO Arturo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9181,,,Gruppo Unita' Socialista : Segretario dall'8 maggio 1948 al 24 giugno 1953 (dal 13 febbraio 1952 il Gruppo assume la denominazione Partito Socialista Democratico Italiano),1
ASQUINI Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=6542,,,Gruppo Unita' Socialista : Membro dall'8 maggio 1948 al 24 giugno 1953 (dal 13 febbraio 1952 il Gruppo assume la denominazione Partito Socialista Democratico Italiano),1
AZARA Antonio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9182,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BANFI Antonio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9183,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BARACCO Leopoldo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9184,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BARBARESCHI Gaetano,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9185,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BARDINI Vittorio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9186,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BAREGGI Antonio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9187,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 21 marzo 1950,1
BARONTINI Ilio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9188,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 22 gennaio 1951,1
BASTIANETTO Celeste,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9189,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
BATTISTA Emilio,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9190,,,Gruppo Democratico Cristiano : Segretario dall'8 maggio 1948 al 24 giugno 1953,1
BEI Adele,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9191,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
