L. 820/1962,in materia di tasse sulle concessioni governative,Incerto,0.0,Incerto,0.0
L. 233/2021,in con del per l'attuazione del Piano nazionale di ripresa e resilienza (PNRR) e per la prevenzione delle infiltrazioni mafiose (G),Tassazione e spesa pubblica,0.95,Diritti civili e politici,0.7
L. 593/1950,del termine per il mantenimento in servizio dei prestatori d'opera assunti e riassunti in virtù del luogotenenziale,Incerto,0.0,Incerto,0.0
L. 23/1949,in con del contenente al regime fiscale dello zucchero e degli altri prodotti zuccherini,Tassazione e spesa pubblica,0.95,"Economia, finanza e commercio",0.7
L. 452/1981,particolari per l'ammissione a concorsi a posti di direttore didattico,"Istruzione, cultura, informazione e religione",0.95,"Lavoro, Welfare e affari sociali",0.6
L. 159/1992,Attribuzione della promozione a sottotenente a titolo onorifico in favore degli ex sergenti allievi ufficiali di complemento del secondo conflitto mondiale,Diritti civili e politici,0.95,"Istituzioni, governo e politica",0.8
L. 1130/1958,Interpretazione autentica degli e della per le concessioni di viaggio sulle ferrovie dello Stato,Trasporti e infrastrutture,0.95,"Istituzioni, governo e politica",0.6
L. 141/2019,in con del misure per il rispetto degli obblighi previsti dalla direttiva //CE sulla qualità dell'aria e del termine di cui all' commi e del con dalla (G),Ambiente e risorse naturali,0.95,Sanità e salute pubblica,0.3
L. 149/1975,dell' del sulla repressione delle frodi nella preparazione e nel commercio dei prodotti agrari per quanto concerne l'ammontare del deposito per la richiesta dell'analisi di revisione,Tassazione e spesa pubblica,0.85,"Agricoltura, caccia e pesca",0.45
L. 853/1973,Autonomia contabile e funzionale dei consigli regionali delle regioni a ordinario,Incerto,0.0,Incerto,0.0
L. 303/1968,in favore di alcune categorie di insegnanti non di ruolo delle soppresse scuole di avviamento professionale,"Istruzione, cultura, informazione e religione",0.95,"Lavoro, Welfare e affari sociali",0.6
L. 12/2003,ed dell'Accordo tra il italiano e l'Organizzazione mondiale della sanità Ufficio regionale per l'Europa l'istituzione dell'Ufficio europeo OMS per gli investimenti in salute e per lo sviluppo con allegati fatto a Roma l',Sanità e salute pubblica,0.95,"Istituzioni, governo e politica",0.7
L. 367/1963,alle previste dalla sull'assunzione obbligatoria al lavoro degli invalidi di guerra,Incerto,0.0,Incerto,0.0
L. 181/1992,al codice penale in tema di delitti contro la pubblica amministrazione,Giustizia e diritto,0.95,Diritti civili e politici,0.6
L. 107/1974,in del fissazione di nuovi termini e modalità per la presentazione delle domande di definizione delle pendenze in materia tributaria,Tassazione e spesa pubblica,0.95,Diritti civili e politici,0.2
L. 297/1953,a favore della città di Napoli,Regioni ed enti locali,0.95,"Istituzioni, governo e politica",0.7
L. 141/1992,ed integrazioni alla in materia di previdenza forense e di iscrizione alla Cassa nazionale di previdenza ed assistenza per gli avvocati e procuratori,"Lavoro, Welfare e affari sociali",0.95,Giustizia e diritto,0.7
L. 226/1951,delle aliquote dei diritti erariali sugli spettacoli di solo cinematografo e spettacoli misti con avanspettacolo,Tassazione e spesa pubblica,0.95,"Istruzione, cultura, informazione e religione",0.7
L. 1263/1957,Costituzione in Comune autonomo della frazione di Dairago del comune di Arconate in provincia di Milano,"Istituzioni, governo e politica",0.95,Regioni ed enti locali,0.8
L. 667/1960,Ammissione di ufficiali di complemento muniti di diploma di abilitazione magistrale ai concorsi per il reclutamento straordinario di ufficiali in servizio permanente effettivo,"Istituzioni, governo e politica",0.95,Diritti civili e politici,0.6
L. 26/1990,"Tutela della denominazione di origine ""Prosciutto di Parma""","Istruzione, cultura, informazione e religione",0.85,"Agricoltura, caccia e pesca",0.45
L. 65/1952,Assegnazione di un nuovo termine per l'attuazione del piano di risanamento del quartiere Santa Croce in Reggio Emilia,Regioni ed enti locali,0.95,"Istituzioni, governo e politica",0.7
L. 543/1971,al del della per quanto concerne la denuncia di produzione e di giacenza dei prodotti vinicoli,Giustizia e diritto,0.95,"Agricoltura, caccia e pesca",0.6
L. 208/1978,del secondo dell' del luogotenenziale relativo ai beni già del cessato partito nazionale fascista e delle organizzazioni soppresse con,Diritti civili e politici,0.85,"Istituzioni, governo e politica",0.45
L. 1034/1969,Rettifica della misura dell'indennità di servizio penitenziario spettante agli applicati coniugati e qualifiche corrispondenti dell'amministrazione degli istituti di prevenzione e di pena,Diritti civili e politici,0.95,"Istituzioni, governo e politica",0.8
L. 689/1950,e maggiorazioni di spese circa la per conto di terzi di lavori attinenti ai servizi telegrafici telefonici e postali da parte dell'Amministrazione delle poste e delle telecomunicazioni,Tassazione e spesa pubblica,0.95,Incerto,0.0
L. 993/1966,alle elezioni comunali e provinciali che avranno luogo il e delle agevolazioni di viaggio previste per le elezioni politiche,"Istituzioni, governo e politica",0.95,Trasporti e infrastrutture,0.7
