case_id,activity,chamber,time,resource,chunk
25G00016,presentazione,camera,2022-10-19,Onorevole Marco Simiani (PD-IDP) e altri,"Camera dei deputati (atto numero 400): Presentato dall'Onorevole Marco Simiani (PD-IDP) e altri, in data 19 ottobre 2022."
25G00016,assegnazione,camera,2022-11-23,8 Commissione (Ambiente,"Assegnato alla 8 Commissione (Ambiente, territorio e lavori pubblici), in sede referente, il 23 novembre 2022, con i pareri delle commissioni 1 (Affari costituzionali, della Presidenza del Consiglio e Interni), 2 (Giustizia), 5 (Bilancio, tesoro e programmazione), 11 (Lavoro pubblico e privato) e per le Questioni regionali."
25G00016,esame_commissione,camera,2023-11-28,Commissione 8 (Ambiente,"Esaminato dalla Commissione 8 (Ambiente, territorio e lavori pubblici), in sede referente, il 15, il 21 e il 28 novembre 2023; il 17 gennaio 2024; il 7 febbraio 2024; il 23 aprile 2024; il 5 agosto 2024; il 2 ottobre 2024."
25G00016,esame_aula,camera,2024-10-16,,"Esaminato in Aula il 16 ottobre 2024 e trasferito all'8 Commissione (Ambiente, territorio e lavori pubblici), in sede legislativa, il 17 ottobre 2024."
25G00016,assegnazione,camera,2024-10-17,8 Commissione (Ambiente,"Nuovamente assegnato alla 8 Commissione (Ambiente, territorio e lavori pubblici), in sede legislativa, il 17 ottobre 2024, con i pareri delle commissioni 1 (Affari costituzionali, della Presidenza del Consiglio e Interni), 2 (Giustizia), 5 (Bilancio, tesoro e programmazione), 11 (Lavoro pubblico e privato) e per le Questioni regionali."
25G00016,approvazione,camera,2024-10-17,,"Esaminato e approvato in testo unificato con l'Atto Camera 1080, Atto Camera 1202, e Atto Camera C. 1286, dalla Commissione 8 (Ambiente, territorio e lavori pubblici), in sede legislativa, il 17 ottobre 2024."
25G00016,assegnazione,senato,2024-10-30,8 Commissione (Ambiente,"Senato della Repubblica (atto numero 1275): Assegnato alla 8 Commissione (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), in sede redigente, il 30 ottobre 2024, con i pareri delle commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 5ª (Programmazione economica, bilancio), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale) e per le Questioni regionali."
25G00016,esame_commissione,senato,2024-12-18,Commissione 8ª (Ambiente,"Esaminato dalla Commissione 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), in sede redigente, l'11 e il 18 dicembre 2024; l'8, il 15 e il 21 gennaio 2025."
25G00016,approvazione,senato,2025-01-22,,Esaminato ed approvato definitivamente in Aula il 22 gennaio 2025.
25G00014,assegnazione,camera,2025-01-22,Commissioni riunite 3 (Affari esteri e comunitari) e 4 (Difesa),"Camera dei deputati (atto numero 2206): Assegnato alle Commissioni riunite 3 (Affari esteri e comunitari) e 4 (Difesa), in sede referente, il 22 gennaio 2025, con i pareri delle Commissioni 1 (Affari costituzionali, della Presidenza del Consiglio e Interni), 5 (Bilancio, tesoro e programmazione) e XIV (Politiche dell'Unione europea)."
25G00014,esame_commissione,camera,2025-01-23,Commissioni riunite 3 (Affari esteri e comunitari) e 4 (Difesa),"Esaminato dalle Commissioni riunite 3 (Affari esteri e comunitari) e 4 (Difesa), in sede referente, il 23 gennaio 2025."
25G00014,esame_aula,camera,2025-01-28,,Esaminato in Aula e approvato definitivamente il 28 gennaio 2025.
25G00014,approvazione,camera,2025-01-28,,Esaminato in Aula e approvato definitivamente il 28 gennaio 2025.
25G00014,presentazione,senato,2024-12-27,Presidente del Consiglio dei ministri Giorgia Meloni e dal Ministro degli affari esteri e della cooperazione internazionale Antonio Tajani e dal Ministro della difesa Guido Crosetto (Governo Meloni-1),"Senato della Repubblica (atto numero 1335): Presentato dal Presidente del Consiglio dei ministri Giorgia Meloni e dal Ministro degli affari esteri e della cooperazione internazionale Antonio Tajani e dal Ministro della difesa Guido Crosetto (Governo Meloni-1), in data 27 dicembre 2024."
25G00014,assegnazione,senato,2024-12-28,3 Commissione (Affari esteri e difesa),"Assegnato alla 3 Commissione (Affari esteri e difesa), in sede referente, il 28 dicembre 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 5ª (Programmazione economica, bilancio), e del Comitato per la legislazione."
25G00014,esame_commissione,senato,2025-01-14,Commissione 3ª (Affari esteri e difesa),"Esaminato dalla Commissione 3ª (Affari esteri e difesa), in sede referente, l'8 e il 14 gennaio 2025."
25G00014,esame_aula,senato,2025-01-22,,Esaminato in Aula 21 gennaio 2025 e approvato il 22 gennaio 2025.
25G00014,approvazione,senato,2025-01-22,,Esaminato in Aula 21 gennaio 2025 e approvato il 22 gennaio 2025.
25G00011,assegnazione,camera,2024-06-03,4 Commissione (Difesa),"Assegnato alla 4 Commissione (Difesa), in sede referente, il 3 giugno 2024, con i pareri delle commissioni 1 (Affari costituzionali, della Presidenza del Consiglio e interni), 5 (Bilancio, Tesoro e Programmazione), 7 (Cultura, scienza e istruzione), e per le Questioni regionali."
25G00011,esame_commissione,camera,2024-06-26,Commissione 4 (Difesa),"Esaminato dalla Commissione 4 (Difesa), in sede referente, il 19 e il 26 giugno 2024; il 4 e il 17 luglio 2024."
25G00011,esame_aula,camera,2024-09-16,,Esaminato in Aula il 16 settembre 2024 e approvato il 19 settembre 2024.
25G00011,approvazione,camera,2024-09-19,,Esaminato in Aula il 16 settembre 2024 e approvato il 19 settembre 2024.
25G00011,assegnazione,senato,2024-09-25,3 Commissione permanente (Affari esteri e difesa),"Senato della Repubblica (atto numero 1239): Assegnato alla 3 Commissione permanente (Affari esteri e difesa), in sede redigente, il 25 settembre 2024, con i pareri delle commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica amministrazione, editoria, digitalizzazione), 5ª (Programmazione economica, bilancio), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), e per le Questioni regionali."
25G00011,esame_commissione,senato,2024-10-23,Commissione 3ª (Affari esteri e difesa),"Esaminato dalla Commissione 3ª (Affari esteri e difesa), in sede redigente, l'8 e il 23 ottobre 2024."
25G00009,assegnazione,camera,2025-01-15,2 Commissione (Giustizia),"Camera dei deputati (atto numero 2196): Assegnato alla 2 Commissione (Giustizia), in sede referente, il 15 gennaio 2025, con i pareri delle Commissioni 1 (Affari costituzionali, della Presidenza del Consiglio e Interni), 5 (Bilancio, tesoro e programmazione), 8 (Ambiente, territorio e lavori pubblici), 9 (Trasporti, poste e telecomunicazioni), 10 (Attività produttive, commercio e turismo), 11 (Lavoro pubblico e privato), per le Questioni regionali e del Comitato per la legislazione."
25G00009,esame_commissione,camera,2025-01-16,Commissione 2 (Giustizia),"Esaminato dalla Commissione 2 (Giustizia), in sede referente, il 15 e il 16 gennaio 2025."
25G00009,esame_aula,camera,2025-01-20,,Esaminato in Aula il 20 gennaio 2025 e approvato definitivamente il 21 gennaio 2025.
25G00009,approvazione,camera,2025-01-21,,Esaminato in Aula il 20 gennaio 2025 e approvato definitivamente il 21 gennaio 2025.
25G00009,presentazione,senato,2024-11-29,Presidente del Consiglio dei ministri Giorgia Meloni e dal Ministro della giustizia Carlo Nordio (Governo Meloni-1),"Senato della Repubblica (atto numero 1315): Presentato dal Presidente del Consiglio dei ministri Giorgia Meloni e dal Ministro della giustizia Carlo Nordio (Governo Meloni-1), in data 29 novembre 2024."
25G00009,assegnazione,senato,2024-12-03,2 Commissione (Giustizia),"Assegnato alla 2 Commissione (Giustizia), in sede referente, il 3 dicembre 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale), per le Questioni regionali e del Comitato per la legislazione."
25G00009,esame_commissione,senato,2024-12-18,Commissione 2ª (Giustizia),"Esaminato dalla Commissione 2ª (Giustizia), in sede referente, il 5, il 17 e il 18 dicembre 2024; l'8 e il 14 gennaio 2025."
25G00009,esame_aula,senato,2025-01-15,,Esaminato in Aula 14 gennaio 2025 e approvato il 15 gennaio 2025.
25G00009,approvazione,senato,2025-01-15,,Esaminato in Aula 14 gennaio 2025 e approvato il 15 gennaio 2025.
25G00008,assegnazione,camera,2024-09-16,3 Commissione permanente (Affari esteri e comunitari),"Camera dei deputati (atto numero 2031): Assegnato alla 3 Commissione permanente (Affari esteri e comunitari), in sede referente, il 16 settembre 2024, con i pareri delle commissioni 1 (Affari costituzionali, della Presidenza del Consiglio e interni), 5 (Bilancio, tesoro e programmazione), 6 (Finanze) e XIV (Politiche dell'Unione europea)."
25G00008,esame_commissione,camera,2024-09-25,Commissione 3 (Affari esteri e comunitari),"Esaminato dalla Commissione 3 (Affari esteri e comunitari), in sede referente, il 25 settembre 2024 e il 23 ottobre 2024."
25G00008,esame_aula,camera,2025-01-07,,Esaminato in aula il 7 gennaio 2025 e approvato definitivamente l'8 gennaio 2025.
25G00008,assegnazione,senato,2024-05-14,3 Commissione (Affari esteri e difesa),"Assegnato alla 3 Commissione (Affari esteri e difesa), in sede referente, il 14 maggio 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'interno, ordinamento generale dello Stato e della pubblica amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 4ª (Politiche dell'Unione europea) 5ª (Programmazione economica, bilancio) e 6ª (Finanze e tesoro)."
25G00008,esame_commissione,senato,2024-05-28,Commissione 3ª (Affari esteri e difesa),"Esaminato dalla Commissione 3ª (Affari esteri e difesa), in sede referente, il 21 e il 28 maggio 2024."
24G00219,assegnazione,camera,2022-12-13,12 Commissione permanente (Affari sociali),"Assegnato alla 12 Commissione permanente (Affari sociali), in sede referente, il 13 dicembre 2022, con i pareri delle Commissioni 1ª (Affari costituzionali, della Presidenza del Consiglio e interni), 5ª (Bilancio, tesoro e programmazione), 9ª (Trasporti, poste e telecomunicazioni), e per le Questioni regionali."
24G00219,esame_commissione,camera,2023-07-05,Commissione 12 Commissione (Affari sociali),"Esaminato dalla Commissione 12 Commissione (Affari sociali), in sede referente, il 5 luglio 2023, l'11 e il 25 ottobre 2023, il 14 febbraio 2024."
24G00219,esame_aula,camera,2024-02-20,,Esaminato in Aula il 20 febbraio 2024 e approvato il 21 febbraio 2024.
24G00219,approvazione,camera,2024-02-21,,Esaminato in Aula il 20 febbraio 2024 e approvato il 21 febbraio 2024.
24G00219,assegnazione,senato,2024-02-28,10 Commissione permanente (Affari sociali,"Senato della Repubblica (atto numero 1037): Assegnato alla 10 Commissione permanente (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale), in sede redigente, il 28 febbraio 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica amministrazione, editoria, digitalizzazione), 3ª (Affari esteri e difesa), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), e per le Questioni regionali."
24G00219,esame_commissione,senato,2024-04-09,Commissione 10ª (Affari sociali,"Esaminato dalla Commissione 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale), in sede redigente, il 9 aprile 2024, il 19 giugno 2024, il 5 agosto 2024 e il 1 ottobre 2024."
24G00219,esame_aula,senato,2024-11-20,,Esaminato in Aula ed approvato definitivamente il 20 novembre 2024.
24G00219,approvazione,senato,2024-11-20,,Esaminato in Aula ed approvato definitivamente il 20 novembre 2024.
24G00229,assegnazione,camera,2024-10-29,5 Commissione permanente (Bilancio,"Assegnato alla 5 Commissione permanente (Bilancio, tesoro e programmazione), in sede referente il 29 ottobre 2024, con i pareri delle commissioni 1 (Affari costituzionali, della Presidenza del Consiglio e Interni), 2 (Giustizia), 3 (Affari esteri e comunitari), 4 (Difesa), 6 (Finanze), 7 (Cultura, scienza e istruzione), 8 (Ambiente, territorio e lavori pubblici), 9 (Trasporti, poste e telecomunicazioni), 10 (Attività produttive, commercio e turismo), 11 (Lavoro pubblico e privato), 12 (Affari sociali), 13 (Agricoltura), XIV (Politiche dell'Unione europea), e per le Questioni regionali."
24G00229,esame_commissione,camera,2024-11-16,Commissione 5 (Bilancio,"Esaminato dalla Commissione 5 (Bilancio, tesoro e programmazione), in sede referente, il 7, il 15 e il 16 novembre 2024; il 4, il 10, l'11, il 12, il 13, il 14, il 16 e il 17 dicembre 2024."
24G00229,esame_aula,camera,2024-12-19,,Esaminato in Aula il 19 dicembre 2024 ed approvato il 20 dicembre 2024.
24G00229,approvazione,camera,2024-12-20,,Esaminato in Aula il 19 dicembre 2024 ed approvato il 20 dicembre 2024.
24G00229,assegnazione,senato,2024-12-23,5 Commissione permanente (Programmazione economica,"Senato della Repubblica (atto numero 1330): Assegnato alla 5 Commissione permanente (Programmazione economica, bilancio), in sede referente, il 23 dicembre 2024, con i pareri delle commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 3ª (Affari esteri e difesa), 4ª (Politiche dell'Unione europea), 6ª (Finanze e tesoro), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale), e per le Questioni regionali."
24G00229,esame_commissione,senato,2024-12-27,Commissione 5ª (Programmazione economica,"Esaminato dalla Commissione 5ª (Programmazione economica, bilancio), in sede referente, il 23 e il 27 dicembre 2024."
24G00229,esame_aula,senato,2024-12-27,,Esaminato in Aula il 27 dicembre 2024 ed approvato definitivamente il 28 dicembre 2024.
24G00229,approvazione,senato,2024-12-28,,Esaminato in Aula il 27 dicembre 2024 ed approvato definitivamente il 28 dicembre 2024.
24G00218,assegnazione,camera,2023-11-28,11 Commissione permanente (Lavoro pubblico e privato),"Assegnato alla 11 Commissione permanente (Lavoro pubblico e privato), in sede referente, il 28 novembre 2023, con i pareri delle commissioni 1 (Affari costituzionali, della Presidenza del Consiglio e Interni), 2 (Giustizia), 5 (Bilancio, tesoro e programmazione), 6 (Finanze), 7 (Cultura, scienza e istruzione), 10 (Attività produttive, commercio e turismo), 12 (Affari sociali), 13 (Agricoltura), XIV (Politiche dell'Unione europea), e per le Questioni regionali."
24G00218,esame_commissione,camera,2023-12-06,Commissione 11 (Lavoro pubblico e privato),"Esaminato dalla Commissione 11 (Lavoro pubblico e privato), in sede referente, il 6 dicembre 2023; il 21 febbraio 2024; il 20 e il 27 marzo 2024; il 3, il 17 e il 31 luglio 2024; il 7 agosto 2024; l'11, il 17, il 18 e il 19 settembre 2024."
24G00218,esame_aula,camera,2024-09-26,,Esaminato in Aula il 23 e il 26 settembre 2024; l'1 e l'8 ottobre 2024 e approvato il 9 ottobre 2024.
24G00218,approvazione,camera,2024-10-09,,Esaminato in Aula il 23 e il 26 settembre 2024; l'1 e l'8 ottobre 2024 e approvato il 9 ottobre 2024.
24G00218,esame_commissione,senato,2024-10-30,Commissione 10ª (Affari sociali,"Esaminato dalla Commissione 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale), in sede referente, il 16, il 22, il 29 e il 30 ottobre 2024; il 5, il 20, il 21 e il 26 novembre 2024; il 3, il 4 e il 5 dicembre 2024."
24G00218,esame_aula,senato,2024-12-10,,Esaminato in Aula il 10 dicembre 2024 e approvato definitivamente l'11 dicembre 2024.
24G00217,assegnazione,camera,2024-10-29,Commissioni riunite 7 (Cultura,"Assegnato alle Commissioni riunite 7 (Cultura, scienza e istruzione) e 11 (Lavoro pubblico e privato), in sede referente, il 29 ottobre 2024, con i pareri del Comitato per la legislazione e delle Commissioni 1 (Affari costituzionali, della Presidenza del Consiglio e Interni), 2 (Giustizia), 3 (Affari esteri e comunitari), 5 (Bilancio, tesoro e programmazione), 8 (Ambiente, territorio e lavori pubblici), 10 (Attività produttive, commercio e turismo), 12 (Affari sociali), 13 (Agricoltura), XIV (Politiche dell'Unione europea), e per le Questioni regionali."
24G00217,esame_commissione,camera,2024-10-30,Commissioni riunite 7 (Cultura,"Esaminato dalle Commissioni riunite 7 (Cultura, scienza e istruzione) e 11 (Lavoro pubblico e privato) in sede referente, il 30 ottobre 2024; il 13, 19 e 27 novembre 2024; il 2, 5 e 10 dicembre 2024."
24G00217,esame_aula,camera,2024-12-10,,Esaminato in Aula il 10 dicembre 2024 ed approvato l'11 dicembre 2024.
24G00217,assegnazione,senato,2024-12-12,7 Commissione permanente (Cultura e patrimonio culturale,"Senato della Repubblica (atto numero 1323): Assegnato alla 7 Commissione permanente (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport) in sede referente il 12 dicembre 2024, con i pareri del Comitato per la legislazione e delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 3ª (Affari esteri e difesa), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio), 6ª (Finanze e tesoro), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale) e per le Questioni regionali."
24G00217,esame_commissione,senato,2024-12-17,Commissione 7ª (Cultura e patrimonio culturale,"Esaminato dalla Commissione 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport) in sede referente, il 16 e il 17 dicembre 2024."
24G00217,esame_aula,senato,2024-12-17,,Esaminato in Aula il 17 dicembre 2024 e approvato definitivamente il 18 dicembre 2024.
